year,hours_worked,iso3c
1950,1820.795,SWE
1951,1812.666,SWE
1952,1812.666,SWE
1953,1794.603,SWE
1954,1804.538,SWE
1955,1794.603,SWE
1956,1772.023,SWE
1957,1772.023,SWE
1958,1743.122,SWE
1959,1719.639,SWE
1960,1715.123,SWE
1961,1716.93,SWE
1962,1706.092,SWE
1963,1700.673,SWE
1964,1672.674,SWE
1965,1662.74,SWE
1966,1650.095,SWE
1967,1622.097,SWE
1968,1583.26,SWE
1969,1562.487,SWE
1970,1562.084,SWE
1971,1533.19,SWE
1972,1497.073,SWE
1973,1482.626,SWE
1974,1465.47,SWE
1975,1443.799,SWE
1976,1451.926,SWE
1977,1427.547,SWE
1978,1391.429,SWE
1979,1381.497,SWE
1980,1380.594,SWE
1981,1373.37,SWE
1982,1386.011,SWE
1983,1395.041,SWE
1984,1396.847,SWE
1985,1401.361,SWE
1986,1399.555,SWE
1987,1407.682,SWE
1988,1425.741,SWE
1989,1423.935,SWE
1990,1422.129,SWE
1991,1410.391,SWE
1992,1424.838,SWE
1993,1441.091,SWE
1994,1476.305,SWE
1995,1481.736,SWE
1996,1492.611,SWE
1997,1497.143,SWE
1998,1496.236,SWE
1999,1505.299,SWE
2000,1488.986,SWE
2001,1468.142,SWE
2002,1446.392,SWE
2003,1432.798,SWE
2004,1452.736,SWE
2005,1451.83,SWE
2006,1450.017,SWE
2007,1461.798,SWE
2008,1474.486,SWE
2009,1459.986,SWE
2010,1485.361,SWE
2011,1486.267,SWE
2012,1472.674,SWE
2013,1464.517,SWE
2014,1465.423,SWE
2015,1466.33,SWE
2016,1478.111,SWE
2017,1465.423,SWE
2018,1464.517,SWE
2019,1450.923,SWE
2020,1421.923,SWE
2021,1440.954,SWE
2022,1435.517,SWE
2023,1430.986,SWE
2024,1430.986,SWE
1950,2002.852,USA
1951,2021.636,USA
1952,2023.635,USA
1953,2028.495,USA
1954,2019.623,USA
1955,2039.928,USA
1956,2038.26,USA
1957,2010.177,USA
1958,1983.864,USA
1959,1994.137,USA
1960,1988.789,USA
1961,1977.861,USA
1962,1996.248,USA
1963,2009.988,USA
1964,2016.407,USA
1965,2025.908,USA
1966,2015.689,USA
1967,1991.881,USA
1968,1980.662,USA
1969,1978.575,USA
1970,1948.727,USA
1971,1936.431,USA
1972,1931.682,USA
1973,1932.577,USA
1974,1901.462,USA
1975,1880.672,USA
1976,1883.513,USA
1977,1886.473,USA
1978,1877.741,USA
1979,1875.686,USA
1980,1859.109,USA
1981,1854.333,USA
1982,1846.421,USA
1983,1866.917,USA
1984,1883.263,USA
1985,1881.752,USA
1986,1874.623,USA
1987,1883.439,USA
1988,1882.867,USA
1989,1895.148,USA
1990,1878.419,USA
1991,1868.058,USA
1992,1867.28,USA
1993,1875.011,USA
1994,1886.99,USA
1995,1886.286,USA
1996,1887.026,USA
1997,1893.567,USA
1998,1891.635,USA
1999,1889.274,USA
2000,1879.846,USA
2001,1859.869,USA
2002,1854.013,USA
2003,1844.095,USA
2004,1845.116,USA
2005,1842.134,USA
2006,1846.845,USA
2007,1841.875,USA
2008,1830.442,USA
2009,1798.778,USA
2010,1810.388,USA
2011,1820.304,USA
2012,1827.068,USA
2013,1825.439,USA
2014,1830.36,USA
2015,1831.118,USA
2016,1822.366,USA
2017,1820.449,USA
2018,1825.66,USA
2019,1822.579,USA
2020,1799.777,USA
2021,1819.895,USA
2022,1810.944,USA
2023,1804.95,USA
2024,1795.906,USA
1960,1994.751,FIN
1961,1993.784,FIN
1962,1987.009,FIN
1963,1983.137,FIN
1964,2008.301,FIN
1965,2008.301,FIN
1966,1984.105,FIN
1967,1967.652,FIN
1968,1952.166,FIN
1969,1933.777,FIN
1970,1918.653,FIN
1971,1884.772,FIN
1972,1869.283,FIN
1973,1853.794,FIN
1974,1847.986,FIN
1975,1751.182,FIN
1976,1743.438,FIN
1977,1730.854,FIN
1978,1736.662,FIN
1979,1730.854,FIN
1980,1732.79,FIN
1981,1726.981,FIN
1982,1719.237,FIN
1983,1709.557,FIN
1984,1705.685,FIN
1985,1699.876,FIN
1986,1683.42,FIN
1987,1690.196,FIN
1988,1694.068,FIN
1989,1694.068,FIN
1990,1670.835,FIN
1991,1652.442,FIN
1992,1651.474,FIN
1993,1651.474,FIN
1994,1671.803,FIN
1995,1676.643,FIN
1996,1675.675,FIN
1997,1671.803,FIN
1998,1662.123,FIN
1999,1661.155,FIN
2000,1652.564,FIN
2001,1638.026,FIN
2002,1630.272,FIN
2003,1624.456,FIN
2004,1626.395,FIN
2005,1615.733,FIN
2006,1610.887,FIN
2007,1607.01,FIN
2008,1603.133,FIN
2009,1582.779,FIN
2010,1587.625,FIN
2011,1579.871,FIN
2012,1568.24,FIN
2013,1560.486,FIN
2014,1556.609,FIN
2015,1555.64,FIN
2016,1554.67,FIN
2017,1548.855,FIN
2018,1546.916,FIN
2019,1537.224,FIN
2020,1529.47,FIN
2021,1527.532,FIN
2022,1512.993,FIN
2023,1497.485,FIN
2024,1509.116,FIN
1979,1819.902,AUS
1980,1818.165,AUS
1981,1803.143,AUS
1982,1781.569,AUS
1983,1765.077,AUS
1984,1785.128,AUS
1985,1778.954,AUS
1986,1782.335,AUS
1987,1781.48,AUS
1988,1778.658,AUS
1989,1791.204,AUS
1990,1777.58,AUS
1991,1763.491,AUS
1992,1760.266,AUS
1993,1778.604,AUS
1994,1785.088,AUS
2010,1688,AUS
2011,1690,AUS
2012,1682,AUS
2016,1661,AUS
2017,1665,AUS
2018,1653,AUS
2020,1610,AUS
2021,1620,AUS
2022,1626,AUS
2023,1645,AUS
2024,1627,AUS
1995,1614.639,AUT
1996,1644.521,AUT
1997,1653.751,AUT
1998,1634.743,AUT
1999,1639.861,AUT
2000,1639.861,AUT
2001,1628.986,AUT
2002,1625.97,AUT
2003,1618.477,AUT
2004,1623.138,AUT
2005,1602.851,AUT
2006,1587.681,AUT
2007,1579.365,AUT
2008,1574.248,AUT
2009,1531.846,AUT
2010,1528.374,AUT
2011,1538.06,AUT
2012,1520.058,AUT
2013,1512.016,AUT
2014,1510.189,AUT
2015,1495.111,AUT
2016,1507.173,AUT
2017,1499.04,AUT
2018,1505.163,AUT
2019,1515.398,AUT
2020,1401.169,AUT
2021,1443.297,AUT
2022,1444.759,AUT
2023,1447.957,AUT
2024,1432.239,AUT
1970,1883.657,BEL
1971,1873.855,BEL
1972,1847.948,BEL
1973,1820.542,BEL
1974,1792.335,BEL
1975,1783.133,BEL
1976,1785.933,BEL
1977,1760.227,BEL
1978,1743.423,BEL
1979,1727.019,BEL
1980,1706.914,BEL
1981,1683.808,BEL
1982,1669.405,BEL
1983,1675.306,BEL
1984,1699.412,BEL
1985,1705.414,BEL
1986,1685.409,BEL
1987,1670.305,BEL
1988,1658.302,BEL
1989,1649.3,BEL
1990,1663.303,BEL
1991,1626.194,BEL
1992,1603.089,BEL
1993,1558.978,BEL
1994,1558.978,BEL
1995,1578.383,BEL
1996,1575.382,BEL
1997,1582.384,BEL
1998,1574.382,BEL
1999,1575.382,BEL
2000,1589.102,BEL
2001,1581.243,BEL
2002,1593.646,BEL
2003,1598.22,BEL
2004,1587.803,BEL
2005,1577.676,BEL
2006,1591.638,BEL
2007,1593.658,BEL
2008,1582.505,BEL
2009,1564.164,BEL
2010,1578.194,BEL
2011,1594.696,BEL
2012,1592.525,BEL
2013,1591.506,BEL
2014,1587.92,BEL
2015,1582.106,BEL
2016,1582.189,BEL
2017,1584.384,BEL
2018,1587.5,BEL
2019,1587.405,BEL
2020,1458.985,BEL
2021,1550.989,BEL
2022,1589.981,BEL
2023,1593.289,BEL
2024,1593.244,BEL
2016,1705,CAN
2017,1694,CAN
2018,1704,CAN
2019,1693,CAN
2020,1658,CAN
2021,1691,CAN
2022,1693,CAN
2023,1694,CAN
2024,1697,CAN
2010,2076,CHL
2011,2056,CHL
2012,2033,CHL
2013,2027,CHL
2014,2000,CHL
2023,1953,CHL
2024,1919,CHL
1970,2603.34,COL
1971,2591.69,COL
1972,2580.093,COL
1973,2568.548,COL
1974,2556.908,COL
1975,2545.321,COL
1976,2533.787,COL
1977,2522.304,COL
1978,2510.874,COL
1979,2499.496,COL
1980,2488.169,COL
1981,2475.24,COL
1982,2462.378,COL
1983,2449.583,COL
1984,2436.855,COL
1985,2424.192,COL
1986,2411.596,COL
1987,2399.065,COL
1988,2386.599,COL
1989,2374.198,COL
1990,2362.201,COL
1991,2350.173,COL
1992,2338.207,COL
1993,2353.751,COL
1994,2369.399,COL
2015,2395.831,COL
2016,2392.209,COL
2017,2376.426,COL
2018,2385.939,COL
2019,2382.611,COL
2020,2069.439,COL
2021,2287.544,COL
2022,2282.116,COL
2023,2252.462,COL
2023,2170.5,CRI
2024,2149,CRI
1995,1831.48,CZE
1996,1829.348,CZE
1997,1837.643,CZE
1998,1860.957,CZE
1999,1890.646,CZE
2000,1900.422,CZE
2001,1823.254,CZE
2002,1812.366,CZE
2003,1799.214,CZE
2004,1813.586,CZE
2005,1802.671,CZE
2006,1789.104,CZE
2007,1774.68,CZE
2008,1789.289,CZE
2009,1779.339,CZE
2010,1798.807,CZE
2011,1804.786,CZE
2012,1774.424,CZE
2013,1761.224,CZE
2014,1771.798,CZE
2015,1749.727,CZE
2016,1773.193,CZE
2017,1775.649,CZE
2018,1783.554,CZE
2019,1783.152,CZE
2020,1672.854,CZE
2021,1721.574,CZE
2022,1779.403,CZE
2023,1774.155,CZE
2024,1770.708,CZE
1970,1845.348,DNK
1971,1809.736,DNK
1972,1751.845,DNK
1973,1709.507,DNK
1974,1691.495,DNK
1975,1616.505,DNK
1976,1623.536,DNK
1977,1598.425,DNK
1978,1575.157,DNK
1979,1563.845,DNK
1980,1577.436,DNK
1981,1546.399,DNK
1982,1552.841,DNK
1983,1545.958,DNK
1984,1540.836,DNK
1985,1527.464,DNK
1986,1530.954,DNK
1987,1493.025,DNK
1988,1471.17,DNK
1989,1454.952,DNK
1990,1440.502,DNK
1991,1437.314,DNK
1992,1452.365,DNK
1993,1448.921,DNK
1994,1406.661,DNK
1995,1419.133,DNK
1996,1412.261,DNK
1997,1428.088,DNK
1998,1441.122,DNK
1999,1456.503,DNK
2000,1465.946,DNK
2001,1468.658,DNK
2002,1462.575,DNK
2003,1457.813,DNK
2004,1458.082,DNK
2005,1451.37,DNK
2006,1455.689,DNK
2007,1432.765,DNK
2008,1429.972,DNK
2009,1416.854,DNK
2010,1422.293,DNK
2011,1436.826,DNK
2012,1423.267,DNK
2013,1425.736,DNK
2014,1413.646,DNK
2015,1406.894,DNK
2016,1412.018,DNK
2017,1404.081,DNK
2018,1380.78,DNK
2019,1372.385,DNK
2020,1340.595,DNK
2021,1388.907,DNK
2022,1385.049,DNK
2023,1379.945,DNK
2024,1378.748,DNK
2000,1883.541,EST
2001,1876.516,EST
2002,1878.605,EST
2003,1883.98,EST
2004,1891.719,EST
2005,1912.586,EST
2006,1905.556,EST
2007,1903.169,EST
2008,1873.919,EST
2009,1744.758,EST
2010,1785.29,EST
2011,1827.345,EST
2012,1795.751,EST
2013,1776.854,EST
2014,1770.748,EST
2015,1763.306,EST
2016,1766.718,EST
2017,1768.131,EST
2018,1707.299,EST
2019,1694.293,EST
2020,1637.233,EST
2021,1625.451,EST
2022,1601.718,EST
2023,1605.743,EST
2024,1611.124,EST
1990,1644.851,FRA
1991,1637.782,FRA
1992,1635.152,FRA
1993,1626.686,FRA
1994,1623.234,FRA
1995,1579.078,FRA
1996,1575.092,FRA
1997,1573.885,FRA
1998,1564.927,FRA
1999,1560.667,FRA
2000,1542.145,FRA
2001,1523.128,FRA
2002,1489.72,FRA
2003,1493.354,FRA
2004,1517.261,FRA
2005,1518.586,FRA
2006,1503.363,FRA
2007,1525.35,FRA
2008,1531.923,FRA
2009,1520.032,FRA
2010,1528.035,FRA
2011,1533.702,FRA
2012,1527.898,FRA
2013,1512.796,FRA
2014,1504.182,FRA
2015,1504.331,FRA
2016,1507.395,FRA
2017,1492.042,FRA
2018,1499.651,FRA
2019,1504.382,FRA
2020,1390.85,FRA
2021,1468.614,FRA
2022,1493.84,FRA
2023,1488.518,FRA
2024,1490.729,FRA
1970,1960.449,DEU
1971,1928.538,DEU
1972,1905.509,DEU
1974,1837.596,DEU
1975,1800.829,DEU
1976,1813.297,DEU
1977,1795.818,DEU
1978,1776.881,DEU
1979,1765.023,DEU
1980,1745.688,DEU
1981,1724.153,DEU
1982,1712.987,DEU
1983,1700.126,DEU
1984,1688.562,DEU
1985,1665.532,DEU
1986,1646.589,DEU
1987,1624.457,DEU
1988,1619.272,DEU
1989,1595.844,DEU
1990,1572.814,DEU
1991,1554.071,DEU
1992,1565.105,DEU
1993,1540.173,DEU
1994,1536.58,DEU
1995,1528.897,DEU
1996,1515.496,DEU
1997,1506.156,DEU
1998,1503.01,DEU
1999,1490.267,DEU
2000,1464.534,DEU
2001,1457.354,DEU
2002,1448.336,DEU
2003,1443.067,DEU
2004,1442.652,DEU
2005,1431.893,DEU
2006,1452.421,DEU
2007,1453.857,DEU
2008,1446.892,DEU
2009,1406.77,DEU
2010,1425.368,DEU
2011,1427.183,DEU
2012,1405.995,DEU
2013,1395.734,DEU
2014,1400.007,DEU
2015,1401.59,DEU
2016,1395.829,DEU
2017,1388.212,DEU
2018,1380.726,DEU
2019,1372.045,DEU
2020,1313.566,DEU
2021,1341.88,DEU
2022,1340.14,DEU
2023,1335.274,DEU
2024,1331.451,DEU
1983,2072.195,GRC
1984,2002.995,GRC
1985,2020.058,GRC
1986,2008.683,GRC
1987,1967.921,GRC
1988,1956.546,GRC
1989,1997.307,GRC
1990,1975.505,GRC
1991,2004.891,GRC
1992,2031.433,GRC
1993,2051.34,GRC
1994,2018.162,GRC
1995,2000.821,GRC
1996,1999.584,GRC
1997,1998.202,GRC
1998,1998.667,GRC
1999,1995.27,GRC
2000,1997.913,GRC
2001,1991.742,GRC
2002,1984.239,GRC
2003,1982.592,GRC
2004,1974.129,GRC
2005,2025.022,GRC
2006,2014.69,GRC
2007,2001.087,GRC
2008,1996.603,GRC
2009,1972.859,GRC
2010,1931.078,GRC
2011,1950.219,GRC
2012,1989.93,GRC
2013,1996.605,GRC
2014,1949.332,GRC
2015,1934.986,GRC
2016,1942.727,GRC
2017,1946.938,GRC
2018,1961.081,GRC
2019,1917.592,GRC
2020,1735.434,GRC
2021,1853.799,GRC
2022,1881.747,GRC
2023,1893.062,GRC
2024,1898.22,GRC
1995,1952.371,HUN
1996,1950.144,HUN
1997,1958.439,HUN
1998,1945.358,HUN
1999,1945.036,HUN
2000,1940.261,HUN
2001,1906.431,HUN
2002,1892.032,HUN
2003,1857.141,HUN
2004,1850.891,HUN
2005,1827.059,HUN
2006,1817.931,HUN
2007,1795.226,HUN
2008,1790.623,HUN
2009,1755.303,HUN
2010,1759.832,HUN
2011,1747.195,HUN
2012,1744.73,HUN
2013,1740.719,HUN
2014,1749.015,HUN
2015,1742.848,HUN
2016,1755.904,HUN
2017,1749.673,HUN
2018,1736.875,HUN
2019,1728.264,HUN
2020,1653.149,HUN
2021,1682.396,HUN
2022,1691.617,HUN
2023,1671.139,HUN
2024,1674.274,HUN
1970,2046.67,ISL
1971,2006.881,ISL
1972,1972.663,ISL
1973,1954.659,ISL
1974,1929.074,ISL
1975,1903.458,ISL
1976,1874.998,ISL
1977,1831.44,ISL
1978,1791.557,ISL
1979,1778.233,ISL
1980,1767.798,ISL
1981,1761.146,ISL
1982,1763.98,ISL
1983,1763.995,ISL
1984,1762.092,ISL
1985,1761.153,ISL
1986,1753.577,ISL
1987,1751.647,ISL
1988,1759.242,ISL
1989,1754.53,ISL
1990,1744.093,ISL
1991,1747.822,ISL
1992,1752.689,ISL
1993,1756.434,ISL
1994,1764.222,ISL
1995,1733.685,ISL
1996,1758.782,ISL
1997,1736.957,ISL
1998,1741.122,ISL
1999,1742.37,ISL
2000,1728.713,ISL
2001,1714.427,ISL
2002,1714.466,ISL
2003,1682.435,ISL
2004,1686.855,ISL
2005,1614.845,ISL
2006,1588.35,ISL
2007,1553.874,ISL
2008,1625.204,ISL
2009,1536.385,ISL
2010,1527.852,ISL
2011,1537.681,ISL
2012,1523.065,ISL
2013,1524.133,ISL
2014,1513.436,ISL
2015,1511.402,ISL
2016,1519.995,ISL
2017,1507.077,ISL
2018,1496.456,ISL
2019,1480.148,ISL
2020,1464.424,ISL
2021,1460.389,ISL
2022,1459.89,ISL
2023,1451.993,ISL
2024,1434.11,ISL
1970,2288.492,IRL
1971,2271.817,IRL
1972,2252.065,IRL
1973,2239.751,IRL
1974,2204.094,IRL
1975,2194.346,IRL
1976,2188.959,IRL
1977,2159.971,IRL
1978,2140.731,IRL
1979,2119.439,IRL
1980,2080.96,IRL
1981,2050.177,IRL
1982,2042.994,IRL
1983,2032.989,IRL
1984,2015.289,IRL
1985,2022.215,IRL
1986,2056.077,IRL
1987,2035.811,IRL
1988,2044.02,IRL
1989,2051.203,IRL
1990,2039.915,IRL
1991,2005.541,IRL
1992,1958.083,IRL
1993,1931.917,IRL
1994,1932.173,IRL
1995,1962.008,IRL
1996,1953.599,IRL
1997,1954.201,IRL
1998,1914.3,IRL
1999,1890.1,IRL
2000,1877,IRL
2001,1853.8,IRL
2002,1838.7,IRL
2003,1808,IRL
2004,1792.6,IRL
2005,1793,IRL
2006,1772.1,IRL
2007,1744.8,IRL
2008,1710.6,IRL
2009,1660.5,IRL
2010,1664.9,IRL
2013,1677.3,IRL
2014,1688.9,IRL
2015,1682.1,IRL
2016,1705,IRL
2017,1727.3,IRL
2018,1742.4,IRL
2020,1620.2,IRL
2021,1629.8,IRL
2022,1658.8,IRL
2023,1629.3,IRL
2024,1621.7,IRL
1981,1966.364,ISR
1982,1942.088,ISR
1983,1928.939,ISR
1984,1931.973,ISR
1985,1931.973,ISR
1986,1926.916,ISR
1987,1920.847,ISR
1988,1878.364,ISR
1989,1909.72,ISR
1990,1904.663,ISR
1991,1897.582,ISR
1992,1951.192,ISR
1993,1953.215,ISR
1994,1993.675,ISR
1995,2019.569,ISR
1996,2037.771,ISR
1997,2041.117,ISR
1998,2016.306,ISR
1999,2023.139,ISR
2000,2033.031,ISR
2001,1992.15,ISR
2002,2008.505,ISR
2003,1989.037,ISR
2004,1966.233,ISR
2005,1957.112,ISR
2006,1945.005,ISR
2007,1957.866,ISR
2008,1955.662,ISR
2009,1956.012,ISR
2010,1950.301,ISR
2011,1941.947,ISR
2012,1916.593,ISR
2013,1906.779,ISR
2014,1893.307,ISR
2015,1894.42,ISR
2016,1918.541,ISR
2017,1918.016,ISR
2018,1910.715,ISR
2019,1894.942,ISR
2020,1778.438,ISR
2021,1877.381,ISR
2022,1890.858,ISR
2023,1880.809,ISR
2024,1877.038,ISR
1970,2042.316,ITA
1971,1989.836,ITA
1972,1970.973,ITA
1973,1954.73,ITA
1974,1924.153,ITA
1975,1908.631,ITA
1976,1906.535,ITA
1977,1871.688,ITA
1978,1861.644,ITA
1979,1855.108,ITA
1980,1856.145,ITA
1981,1862.422,ITA
1982,1873.828,ITA
1983,1873.101,ITA
1984,1862.735,ITA
1985,1859.236,ITA
1986,1867.672,ITA
1987,1886.798,ITA
1988,1890.464,ITA
1989,1874.599,ITA
1990,1863.888,ITA
1991,1856.938,ITA
1992,1860.098,ITA
1993,1859.962,ITA
1994,1853.881,ITA
1995,1832.5,ITA
1996,1841.439,ITA
1997,1835.325,ITA
1998,1849.668,ITA
1999,1847.116,ITA
2000,1827.7,ITA
2001,1818.168,ITA
2002,1801.002,ITA
2003,1784.348,ITA
2004,1783.564,ITA
2005,1779.861,ITA
2006,1781.106,ITA
2007,1786.214,ITA
2008,1775.378,ITA
2009,1742.563,ITA
2010,1743.237,ITA
2011,1739.031,ITA
2012,1700.625,ITA
2013,1687.479,ITA
2014,1685.58,ITA
2015,1688.082,ITA
2016,1692.141,ITA
2017,1690.696,ITA
2018,1690.236,ITA
2019,1680.492,ITA
2020,1513.929,ITA
2021,1653.027,ITA
2022,1691.253,ITA
2023,1701.421,ITA
2024,1709.15,ITA
2020,1597.011,JPN
2021,1607.483,JPN
2022,1606.995,JPN
2023,1610.745,JPN
2024,1617.381,JPN
2013,2105,KOR
2014,2075,KOR
2015,2082,KOR
2018,1992,KOR
2019,1966,KOR
2020,1907,KOR
2022,1900,KOR
2023,1872,KOR
2024,1865,KOR
1995,1867.147,LVA
1996,1865.496,LVA
1997,1861.21,LVA
1998,1860.042,LVA
1999,1861.487,LVA
2000,1864.652,LVA
2001,1872.527,LVA
2002,1841.687,LVA
2003,1836.005,LVA
2004,1802.164,LVA
2005,1842.139,LVA
2006,1829.009,LVA
2007,1793.631,LVA
2008,1751.089,LVA
2009,1707.336,LVA
2010,1692.401,LVA
2011,1707.045,LVA
2012,1691.64,LVA
2013,1685.934,LVA
2014,1695.308,LVA
2015,1663.186,LVA
2016,1663.836,LVA
2017,1649.865,LVA
2018,1661.178,LVA
2019,1660.633,LVA
2020,1570.681,LVA
2021,1597.461,LVA
2022,1630.316,LVA
2023,1625.241,LVA
2024,1636.665,LVA
1995,1552.343,LTU
1996,1550.065,LTU
1997,1554.901,LTU
1998,1596.507,LTU
1999,1549.766,LTU
2000,1657.845,LTU
2001,1645.638,LTU
2002,1619.101,LTU
2003,1603.989,LTU
2004,1685.643,LTU
2005,1688.635,LTU
2006,1680.991,LTU
2007,1708.159,LTU
2008,1733.278,LTU
2009,1670.844,LTU
2010,1697.472,LTU
2011,1674.999,LTU
2012,1673.034,LTU
2013,1658.257,LTU
2014,1650.661,LTU
2015,1673.202,LTU
2016,1694.331,LTU
2017,1656.934,LTU
2018,1664.095,LTU
2019,1665.665,LTU
2020,1595.552,LTU
2021,1619.266,LTU
2022,1624.95,LTU
2023,1640.355,LTU
2024,1659.65,LTU
1970,1884.545,LUX
1971,1880.96,LUX
1972,1859.946,LUX
1973,1830.072,LUX
1974,1806.08,LUX
1975,1777.873,LUX
1976,1794.686,LUX
1977,1769.056,LUX
1978,1751.087,LUX
1979,1734.128,LUX
1980,1717.581,LUX
1981,1692.823,LUX
1982,1674.813,LUX
1983,1669.064,LUX
1984,1655.194,LUX
1985,1659.818,LUX
1986,1651.495,LUX
1987,1649.646,LUX
1988,1669.989,LUX
1989,1658.893,LUX
1990,1658.893,LUX
1991,1641.324,LUX
1992,1620.056,LUX
1993,1626.529,LUX
1994,1605.261,LUX
1998,1598,LUX
2005,1566,LUX
2011,1519,LUX
2020,1388,LUX
2021,1475,LUX
2022,1472,LUX
2023,1466,LUX
2024,1468,LUX
2005,2284.318,MEX
2006,2271.572,MEX
2007,2252.178,MEX
2008,2255.999,MEX
2009,2245.172,MEX
2010,2243.893,MEX
2011,2236.718,MEX
2012,2226.199,MEX
2013,2230.844,MEX
2014,2229.068,MEX
