year,hours_worked,iso3c
2015,2233.595,MEX
2016,2237.939,MEX
2017,2237.741,MEX
2018,2237.945,MEX
2019,2227.517,MEX
2020,2207.426,MEX
2021,2216.265,MEX
2022,2226.3,MEX
2023,2206.628,MEX
2024,2193.358,MEX
1995,1502.953,NLD
1996,1514.931,NLD
1997,1505.469,NLD
1998,1498.38,NLD
1999,1491.954,NLD
2000,1485.914,NLD
2001,1475.767,NLD
2002,1458.44,NLD
2003,1449.821,NLD
2004,1459.46,NLD
2005,1450,NLD
2006,1449.103,NLD
2007,1451.464,NLD
2008,1447.427,NLD
2009,1438.088,NLD
2010,1437.442,NLD
2011,1435.548,NLD
2012,1430.18,NLD
2013,1438.8,NLD
2014,1446.646,NLD
2015,1449.67,NLD
2016,1459.737,NLD
2017,1463.482,NLD
2018,1463.412,NLD
2019,1465.361,NLD
2020,1416.243,NLD
2021,1445.17,NLD
2022,1449.757,NLD
2023,1449.243,NLD
2024,1445.043,NLD
1970,1863.992,NZL
1971,1860.782,NZL
1972,1846.338,NZL
1973,1844.031,NZL
1974,1852.456,NZL
1975,1836.708,NZL
1976,1833.498,NZL
1977,1838.915,NZL
1978,1830.088,NZL
1979,1820.86,NZL
1980,1810.027,NZL
1981,1791.972,NZL
1982,1799.294,NZL
1983,1852.858,NZL
1984,1846.338,NZL
1985,1840.319,NZL
2023,1751,NZL
2024,1741,NZL
1986,1527.8,NOR
1987,1500.8,NOR
1988,1503.6,NOR
1989,1500.6,NOR
1990,1492.676,NOR
1991,1489.897,NOR
1993,1496.569,NOR
1994,1494.442,NOR
2022,1422,NOR
2023,1412,NOR
2024,1407,NOR
1993,1903.245,POL
1994,1940.738,POL
1995,1858.513,POL
1996,1858.66,POL
1997,1858.48,POL
1998,1858.427,POL
1999,1874.98,POL
2000,1858.34,POL
2001,1860.119,POL
2002,1855.463,POL
2003,1860.549,POL
2004,1860.871,POL
2005,1855.975,POL
2006,1857.342,POL
2007,1854.695,POL
2008,1847.54,POL
2009,1833.614,POL
2010,1828.972,POL
2011,1824.33,POL
2012,1819.688,POL
2013,1816.434,POL
2014,1822.296,POL
2015,1829.159,POL
2016,1831.364,POL
2017,1811.616,POL
2018,1787.329,POL
2019,1796.511,POL
2020,1779.211,POL
2021,1827.92,POL
2022,1818.444,POL
2023,1806.919,POL
2024,1785.142,POL
1970,1963.479,PRT
1971,1950.573,PRT
1972,1938.59,PRT
1973,1926.606,PRT
1974,1914.622,PRT
1975,1903.561,PRT
1976,1892.499,PRT
1977,1881.437,PRT
1978,1870.375,PRT
1979,1859.313,PRT
1980,1849.173,PRT
1981,1838.111,PRT
1982,1827.049,PRT
1983,1816.909,PRT
1984,1805.847,PRT
1985,1795.707,PRT
1986,1784.646,PRT
1987,1799.395,PRT
1988,1798.473,PRT
1989,1817.831,PRT
1990,1805.847,PRT
1991,1739.476,PRT
1992,1682.323,PRT
1993,1684.167,PRT
1994,1691.542,PRT
1995,1758.83,PRT
1996,1759.807,PRT
1997,1755.126,PRT
1998,1769.461,PRT
1999,1771.1,PRT
2000,1780.003,PRT
2001,1764.59,PRT
2002,1758.152,PRT
2003,1751.637,PRT
2004,1757.32,PRT
2005,1759.227,PRT
2006,1748.284,PRT
2007,1764.177,PRT
2008,1752.014,PRT
2009,1752.415,PRT
2010,1755.048,PRT
2011,1729.588,PRT
2012,1708.598,PRT
2013,1718.767,PRT
2014,1726.294,PRT
2015,1731.758,PRT
2016,1737.476,PRT
2017,1727.047,PRT
2018,1736.839,PRT
2019,1741.303,PRT
2020,1630.844,PRT
2021,1680.509,PRT
2022,1720.243,PRT
2023,1734.942,PRT
2024,1715.776,PRT
2021,1581,SVK
2022,1610,SVK
2023,1621,SVK
2024,1624,SVK
2003,1723,SVN
2020,1533,SVN
2021,1594,SVN
2023,1588,SVN
2024,1602,SVN
1970,2046.445,ESP
1971,2042.168,ESP
1972,2038.095,ESP
1973,2034.019,ESP
1974,2029.952,ESP
1975,2025.893,ESP
1976,2021.829,ESP
1977,2017.729,ESP
1978,1986.616,ESP
1979,1936.477,ESP
1980,1918.344,ESP
1981,1884.258,ESP
1982,1863.152,ESP
1983,1831.047,ESP
1984,1786.953,ESP
1985,1776.945,ESP
1986,1768.919,ESP
1987,1760.893,ESP
1988,1756.83,ESP
1989,1744.841,ESP
1990,1746.823,ESP
1991,1755.84,ESP
1992,1747.813,ESP
1993,1739.787,ESP
1994,1738.796,ESP
1995,1735.916,ESP
1996,1740.426,ESP
1997,1743.212,ESP
1998,1752.442,ESP
1999,1758.401,ESP
2000,1753.089,ESP
2001,1762.652,ESP
2002,1762.219,ESP
2003,1751.272,ESP
2004,1735.051,ESP
2005,1717.967,ESP
2006,1707.05,ESP
2007,1694.868,ESP
2008,1705.075,ESP
2009,1711.16,ESP
2010,1703.215,ESP
2011,1708.592,ESP
2012,1699.222,ESP
2013,1688.109,ESP
2014,1688.149,ESP
2015,1689.956,ESP
2016,1696.839,ESP
2017,1688.791,ESP
2018,1693.496,ESP
2019,1678.23,ESP
2020,1562.677,ESP
2021,1633.474,ESP
2022,1653.44,ESP
2023,1637.986,ESP
2024,1633.531,ESP
1995,1720.264,CHE
1996,1696.873,CHE
1997,1687.455,CHE
1998,1695.534,CHE
1999,1717.399,CHE
2000,1712.744,CHE
2001,1672.849,CHE
2002,1651.259,CHE
2003,1664.542,CHE
2004,1694.952,CHE
2005,1689.969,CHE
2006,1679.238,CHE
2007,1668.869,CHE
2008,1659.458,CHE
2009,1650.777,CHE
2010,1611.235,CHE
2011,1608.309,CHE
2012,1592.564,CHE
2013,1572.689,CHE
2014,1564.47,CHE
2015,1576.62,CHE
2016,1577.044,CHE
2017,1559.09,CHE
2018,1551.416,CHE
2019,1549.095,CHE
2020,1498.798,CHE
2021,1532.479,CHE
2022,1536.634,CHE
2023,1529.574,CHE
2024,1531.708,CHE
2014,1829.543,TUR
2015,1810.707,TUR
2016,1789.414,TUR
2017,1775.492,TUR
2018,1745.191,TUR
2019,1732.088,TUR
2020,1572.392,TUR
2021,1732.088,TUR
1970,1774.941,GBR
1971,1740.12,GBR
1972,1708.965,GBR
1973,1760.279,GBR
1974,1724.542,GBR
1975,1719.961,GBR
1976,1704.383,GBR
1977,1686.973,GBR
1978,1668.646,GBR
1979,1661.315,GBR
1980,1619.164,GBR
1981,1566.933,GBR
1982,1580.678,GBR
1983,1567.849,GBR
1984,1582.51,GBR
1985,1612.749,GBR
1986,1615.498,GBR
1987,1605.419,GBR
1988,1642.072,GBR
1989,1631.076,GBR
1990,1617.331,GBR
1991,1614.582,GBR
1992,1582.51,GBR
1993,1577.012,GBR
1994,1586.176,GBR
1995,1586.176,GBR
1996,1586.176,GBR
1997,1586.176,GBR
1998,1581.594,GBR
1999,1572.431,GBR
2000,1526.015,GBR
2001,1530.503,GBR
2002,1511.653,GBR
2003,1502.676,GBR
2004,1502.676,GBR
2005,1524.22,GBR
2006,1504.471,GBR
2007,1512.55,GBR
2008,1516.141,GBR
2009,1491.904,GBR
2010,1491.904,GBR
2011,1481.132,GBR
2012,1497.29,GBR
2013,1523.322,GBR
2014,1517.039,GBR
2015,1513.448,GBR
2016,1541.275,GBR
2017,1521.527,GBR
2018,1519.732,GBR
2019,1508.96,GBR
2020,1207.347,GBR
2021,1485.621,GBR
2022,1505.369,GBR
2023,1496.393,GBR
2024,1511.653,GBR
1970,2030.934,OECD
1971,2017.232,OECD
1972,2004.117,OECD
1973,1997.145,OECD
1974,1969.925,OECD
1975,1953.19,OECD
1976,1955.59,OECD
1977,1946.7,OECD
1978,1935.719,OECD
1979,1929.831,OECD
1980,1918.752,OECD
1981,1907.943,OECD
1982,1899.946,OECD
1983,1898.851,OECD
1984,1898.059,OECD
1985,1893.165,OECD
1986,1888.71,OECD
1987,1887.901,OECD
1988,1888.203,OECD
1989,1884.989,OECD
1990,1871.295,OECD
1991,1860.666,OECD
1992,1856.922,OECD
1993,1851.252,OECD
1994,1858.548,OECD
1995,1850.264,OECD
1996,1854.459,OECD
1997,1855.441,OECD
1998,1846.067,OECD
1999,1846.94,OECD
2000,1835.318,OECD
2001,1821.649,OECD
2002,1820.274,OECD
2003,1811.405,OECD
2004,1810.196,OECD
2005,1820.914,OECD
2006,1821.828,OECD
2007,1818.865,OECD
2008,1814.279,OECD
2009,1787.078,OECD
2010,1794.279,OECD
2011,1794.887,OECD
2012,1793.991,OECD
2013,1790.179,OECD
2014,1788.446,OECD
2015,1787.889,OECD
2016,1785.746,OECD
2017,1777.285,OECD
2018,1772.627,OECD
2019,1762.864,OECD
2020,1676.398,OECD
2021,1738.584,OECD
2022,1745.584,OECD
2023,1740.168,OECD
2024,1736.445,OECD
2008,1693.596,BGR
2009,1646.275,BGR
2010,1644.838,BGR
2011,1643.593,BGR
2012,1644.45,BGR
2013,1644.98,BGR
2014,1644.059,BGR
2015,1644.385,BGR
2016,1643.547,BGR
2017,1643.258,BGR
2018,1644.572,BGR
2019,1647.279,BGR
2020,1609.076,BGR
2021,1620.664,BGR
2022,1618.987,BGR
2023,1659.33,BGR
2024,1625.275,BGR
2008,1931.175,HRV
2009,1927.961,HRV
2010,1941.841,HRV
2011,1939.251,HRV
2012,1922.981,HRV
2013,1908.49,HRV
2014,1890.608,HRV
2015,1826.636,HRV
2016,1834.403,HRV
2017,1823.602,HRV
2018,1811.057,HRV
2019,1995.753,HRV
2020,1975.554,HRV
2021,1970.4,HRV
2022,1963.428,HRV
2023,1974.043,HRV
2024,1955.869,HRV
2008,1867.718,CYP
2009,1847.104,CYP
2010,1844.997,CYP
2011,1847.274,CYP
2012,1845.269,CYP
2013,1810.279,CYP
2014,1815.434,CYP
2015,1824.331,CYP
2016,1839.675,CYP
2017,1821.455,CYP
2018,1806.559,CYP
2019,1812.651,CYP
2020,1725.319,CYP
2021,1817.599,CYP
2022,1836.271,CYP
2023,1839.561,CYP
2024,1843.781,CYP
2000,2113.6,MLT
2001,2089.585,MLT
2002,2071.887,MLT
2003,2041.805,MLT
2004,1969.598,MLT
2008,2012.017,MLT
2009,2006.417,MLT
2010,1982.877,MLT
2011,1929.973,MLT
2012,1905.932,MLT
2013,1887.626,MLT
2014,1869.915,MLT
2015,1864.757,MLT
2016,1915.836,MLT
2017,1902.362,MLT
2018,1928.963,MLT
2019,1988.468,MLT
2020,1833.576,MLT
2021,1840.742,MLT
2022,1846.514,MLT
2023,1847.832,MLT
2024,1818.94,MLT
2004,2452,PER
2005,2452,PER
2006,2435,PER
2007,2455,PER
2008,2456,PER
2009,2424,PER
2010,2395,PER
2011,2372,PER
2012,2362,PER
2013,2336,PER
2014,2325,PER
2015,2334,PER
2016,2309,PER
2017,2312,PER
2018,2333,PER
2019,2329,PER
2020,2253,PER
2021,2303,PER
2022,2232,PER
2023,2252,PER
2024,2263,PER
1995,1822.647,ROU
1996,1861.459,ROU
1997,1860.526,ROU
1998,1859.146,ROU
1999,1850.048,ROU
2000,1853.002,ROU
2001,1852.477,ROU
2002,1867.181,ROU
2003,1837.064,ROU
2004,1886.585,ROU
2005,1876.988,ROU
2006,1836.085,ROU
2007,1839.936,ROU
2008,1835.245,ROU
2009,1815.491,ROU
2010,1840.677,ROU
2011,1849.275,ROU
2012,1811.539,ROU
2013,1806.463,ROU
2014,1792.532,ROU
2015,1785.672,ROU
2016,1809.03,ROU
2017,1785.842,ROU
2018,1786.984,ROU
2019,1803.11,ROU
2020,1756.282,ROU
2021,1823.531,ROU
2022,1802.465,ROU
2023,1825.914,ROU
2024,1828.915,ROU
1986,2399,CHL
1987,2405,CHL
1988,2411,CHL
1989,2416,CHL
1990,2422,CHL
1991,2419,CHL
1992,2415,CHL
1993,2389,CHL
1994,2364,CHL
1995,2338,CHL
1996,2313,CHL
1997,2256,CHL
1998,2299,CHL
1999,2277,CHL
2000,2263,CHL
2001,2242,CHL
2002,2250,CHL
2003,2235,CHL
2004,2232,CHL
2005,2157,CHL
2006,2165,CHL
2007,2128,CHL
2008,2095,CHL
2009,2074,CHL
1987,2366,CRI
1988,2346,CRI
1989,2307,CRI
1990,2358,CRI
1991,2272,CRI
1992,2359,CRI
1993,2346,CRI
1994,2370,CRI
1995,2345,CRI
1996,2387,CRI
1997,2365,CRI
1998,2356,CRI
1999,2370,CRI
2000,2362,CRI
2001,2329,CRI
2002,2357,CRI
2003,2350,CRI
2004,2369,CRI
2005,2352,CRI
2006,2360,CRI
2007,2387,CRI
2008,2392,CRI
2009,2348,CRI
2010,2243.1,CRI
2011,2285.3,CRI
2012,2233.4,CRI
2013,2140.6,CRI
2014,2121.7,CRI
2015,2148.2,CRI
2016,2204.7,CRI
2017,2178.9,CRI
2018,2121,CRI
2019,2059.6,CRI
2020,1913.2,CRI
2021,2073.3,CRI
2022,2149,CRI
1993,1857,CZE
1994,1839,CZE
1980,2348,HUN
1981,2347,HUN
1982,2248,HUN
1983,2226,HUN
1984,2149,HUN
1985,2120,HUN
1986,2111,HUN
1987,2158,HUN
1988,2151,HUN
1989,2125,HUN
1990,2082,HUN
1991,2048,HUN
1992,2002,HUN
1993,2002,HUN
1994,2142,HUN
1970,2243,JPN
1971,2239,JPN
1972,2228,JPN
1973,2201,JPN
1974,2137,JPN
1975,2112,JPN
1976,2128,JPN
1977,2129,JPN
1978,2123,JPN
1979,2126,JPN
1980,2121,JPN
1981,2106,JPN
1982,2104,JPN
1983,2095,JPN
1984,2108,JPN
1985,2093,JPN
1986,2097,JPN
1987,2096,JPN
1988,2092,JPN
1989,2070,JPN
1990,2031,JPN
1991,1998,JPN
1992,1965,JPN
1993,1905,JPN
1994,1898,JPN
1995,1884,JPN
1996,1892,JPN
1997,1865,JPN
1998,1842,JPN
1999,1810,JPN
2000,1821,JPN
2001,1809,JPN
2002,1798,JPN
2003,1799,JPN
2004,1785,JPN
2005,1777,JPN
2006,1786,JPN
2007,1785,JPN
2008,1771,JPN
2009,1714,JPN
2010,1733,JPN
2011,1728,JPN
2012,1745,JPN
2013,1734,JPN
2014,1729,JPN
2015,1719,JPN
2016,1714,JPN
2017,1709,JPN
2018,1680,JPN
2019,1644,JPN
2008,2228,KOR
2009,2174,KOR
2010,2163,KOR
2011,2136,KOR
2012,2119,KOR
2016,2068,KOR
2017,2018,KOR
2021,1910,KOR
1991,2113,MEX
1992,2104,MEX
1993,2112,MEX
1994,2146,MEX
1995,2161,MEX
1996,2192,MEX
1997,2241,MEX
1998,2168,MEX
1999,2242,MEX
2000,2174,MEX
2001,2146,MEX
2002,2196,MEX
2003,2143,MEX
2004,2123,MEX
1977,1608,NLD
1979,1559,NLD
1980,1556,NLD
1981,1556,NLD
1982,1542,NLD
1983,1527,NLD
1984,1519,NLD
1985,1502,NLD
1986,1488,NLD
1987,1467,NLD
1988,1464,NLD
1989,1459,NLD
1990,1454,NLD
1991,1444,NLD
1992,1451,NLD
1993,1440,NLD
1994,1447,NLD
1962,1995,NOR
1963,1986,NOR
1964,1996,NOR
1965,1951,NOR
1966,1952,NOR
1967,1936,NOR
1968,1897,NOR
1969,1849,NOR
1970,1819.1,NOR
1971,1798.1,NOR
1972,1765.6,NOR
1973,1751.5,NOR
1974,1730.9,NOR
1975,1715.3,NOR
1976,1662.9,NOR
1977,1627.4,NOR
1978,1591.6,NOR
1979,1569.4,NOR
1980,1569.4,NOR
1981,1560.5,NOR
1982,1549.4,NOR
1983,1542.8,NOR
1984,1537.9,NOR
1985,1532,NOR
1992,1500,NOR
1991,1718.1,CHE
1992,1725.4,CHE
1993,1720.4,CHE
1994,1739.7,CHE
1970,2086,TUR
1971,2077,TUR
1972,2069,TUR
1973,2060,TUR
1974,2044,TUR
1975,2028,TUR
1976,2012,TUR
1977,1996,TUR
1978,1980,TUR
1979,1964,TUR
1980,1957,TUR
1981,1950,TUR
1982,1943,TUR
1983,1935,TUR
1984,1871,TUR
1985,1898,TUR
1986,1883,TUR
1987,1844,TUR
1988,1837,TUR
1989,1867,TUR
1990,1866,TUR
1991,1870,TUR
1992,1897,TUR
1993,1917,TUR
1994,1886,TUR
1995,1876,TUR
1996,1892,TUR
1997,1878,TUR
1998,1884,TUR
1999,1925,TUR
2000,1937,TUR
2001,1942,TUR
2002,1943,TUR
2003,1943,TUR
2004,1918,TUR
2005,1936,TUR
2006,1944,TUR
2007,1911,TUR
2008,1900,TUR
2009,1881,TUR
2010,1877,TUR
2011,1864,TUR
2012,1855,TUR
2013,1832,TUR
1992,1933,RUS
1993,1939,RUS
1994,1895,RUS
1995,1891,RUS
1996,1894,RUS
1997,1951,RUS
1998,1946,RUS
1999,1964,RUS
2000,1982,RUS
2001,1980,RUS
2002,1982,RUS
2003,1993,RUS
2004,1993,RUS
2005,1989,RUS
2006,1998,RUS
2007,1999,RUS
2008,1997,RUS
2009,1974,RUS
2010,1976,RUS
2011,1979,RUS
2012,1982,RUS
2013,1980,RUS
2014,1985,RUS
2015,1978,RUS
2016,1974,RUS
2017,1979,RUS
2018,1970,RUS
2019,1965,RUS
2020,1874,RUS
1986,1834,NZL
1987,1838,NZL
1988,1829,NZL
1989,1820,NZL
1990,1809,NZL
1991,1792,NZL
1992,1799,NZL
1993,1853,NZL
1994,1848,NZL
1995,1841,NZL
1996,1834,NZL
1997,1826,NZL
1998,1829,NZL
1999,1845,NZL
2000,1836,NZL
2001,1825,NZL
2002,1826,NZL
2003,1823,NZL
2004,1830,NZL
2005,1815,NZL
2006,1795,NZL
2007,1774,NZL
2008,1761,NZL
2009,1740,NZL
2010,1755,NZL
2011,1746,NZL
2012,1734,NZL
2013,1756,NZL
2014,1758,NZL
2015,1753,NZL
2016,1754,NZL
2017,1756,NZL
2018,1759,NZL
2019,1783,NZL
2020,1739,NZL
2021,1730,NZL
2022,1748,NZL
1950,2351,FRA
1951,2360,FRA
1952,2339,FRA
1953,2313,FRA
1954,2316,FRA
1955,2292,FRA
1956,2236,FRA
1957,2200,FRA
1958,2179,FRA
1959,2179,FRA
1960,2188,FRA
1961,2165,FRA
1962,2178,FRA
1963,2159,FRA
1964,2166,FRA
1965,2153,FRA
1966,2145,FRA
1967,2110,FRA
1968,2087,FRA
1969,2012,FRA
1970,1993,FRA
1971,1990,FRA
1972,1937,FRA
1973,1920,FRA
1974,1888,FRA
1975,1863,FRA
1976,1889,FRA
1977,1850,FRA
1978,1819,FRA
1979,1816,FRA
1980,1806,FRA
1981,1786,FRA
1982,1714,FRA
1983,1696,FRA
1984,1690,FRA
1985,1654,FRA
1986,1648,FRA
1987,1659,FRA
1988,1667,FRA
1989,1651,FRA
1961,2059,CAN
1962,2058,CAN
1963,2041,CAN
1964,2033,CAN
1965,2016,CAN
1966,2001,CAN
1967,1993,CAN
1968,1958,CAN
1969,1943,CAN
1970,1925,CAN
1971,1912,CAN
1972,1904,CAN
1973,1898,CAN
1974,1891,CAN
1975,1872,CAN
1976,1862,CAN
1977,1834,CAN
1978,1836,CAN
1979,1841,CAN
1980,1827,CAN
1981,1812,CAN
1982,1789,CAN
1983,1779,CAN
1984,1789,CAN
1985,1795,CAN
1986,1797,CAN
1987,1807,CAN
1988,1808,CAN
1989,1802,CAN
1990,1797,CAN
1991,1775,CAN
1992,1772,CAN
1993,1769,CAN
1994,1778,CAN
1995,1775,CAN
1996,1790,CAN
1997,1802,CAN
1998,1797,CAN
1999,1795,CAN
2000,1789,CAN
2001,1775,CAN
2002,1757,CAN
2003,1747,CAN
2004,1757,CAN
2005,1747,CAN
2006,1745,CAN
2007,1745,CAN
2008,1742,CAN
2009,1710,CAN
2010,1715,CAN
2011,1711,CAN
2012,1721,CAN
2013,1714,CAN
2014,1709,CAN
2015,1710,CAN
1995,1786,AUS
1996,1781,AUS
1997,1778,AUS
1998,1764,AUS
1999,1768,AUS
2000,1767,AUS
2001,1736,AUS
2002,1728,AUS
2003,1723,AUS
2004,1721,AUS
2005,1719,AUS
2006,1709,AUS
2007,1709,AUS
2008,1709,AUS
2009,1681,AUS
2013,1680,AUS
2014,1672,AUS
2015,1670,AUS
2019,1651,AUS
2015,1999,CHL
2016,1983,CHL
2017,1968,CHL
2018,1961,CHL
2019,1940,CHL
2020,1828,CHL
2021,1921,CHL
2022,1966,CHL
1995,2364,COL
1996,2358,COL
1997,2352,COL
1998,2347,COL
1999,2347,COL
2000,2347,COL
2001,2347,COL
2002,2438,COL
2003,2419,COL
2004,2404,COL
2005,2416,COL
2006,2445,COL
2007,2473,COL
2008,2503,COL
2009,2461,COL
2010,2454,COL
2011,2435,COL
2012,2420,COL
2013,2413,COL
2014,2405,COL
1973,1877,DEU
2011,1668,IRL
2012,1663,IRL
2019,1742,IRL
1995,1615,LUX
1996,1593,LUX
1997,1600,LUX
1999,1598,LUX
2000,1605,LUX
2001,1593,LUX
2002,1588,LUX
2003,1586,LUX
2004,1586,LUX
2006,1567,LUX
2007,1581,LUX
2008,1581,LUX
2009,1518,LUX
2010,1521,LUX
2012,1514,LUX
2013,1506,LUX
2014,1512,LUX
2015,1519,LUX
2016,1518,LUX
2017,1508,LUX
2018,1499,LUX
2019,1493,LUX
1970,1809,NLD
1971,1777,NLD
1972,1775,NLD
1973,1749,NLD
1974,1696,NLD
1975,1644,NLD
1976,1628,NLD
1978,1580,NLD
1995,1479,NOR
1996,1474,NOR
1997,1468,NOR
1998,1467,NOR
1999,1465,NOR
2000,1448,NOR
2001,1424,NOR
2002,1412,NOR
2003,1401,NOR
2004,1423,NOR
2005,1429,NOR
2006,1426,NOR
2007,1438,NOR
2008,1443,NOR
2009,1422,NOR
2010,1430,NOR
2011,1435,NOR
2012,1431,NOR
2013,1421,NOR
2014,1424,NOR
2015,1427,NOR
2016,1430,NOR
2017,1419,NOR
2018,1419,NOR
2019,1419,NOR
2020,1410,NOR
2021,1426,NOR
1995,1853,SVK
1996,1820,SVK
1997,1830,SVK
1998,1822,SVK
1999,1816,SVK
2000,1816,SVK
2001,1801,SVK
2002,1754,SVK
2003,1698,SVK
2004,1742,SVK
2005,1769,SVK
2006,1774,SVK
2007,1791,SVK
2008,1793,SVK
2009,1780,SVK
2010,1805,SVK
2011,1793,SVK
2012,1789,SVK
2013,1772,SVK
2014,1760,SVK
2015,1754,SVK
2016,1740,SVK
2017,1714,SVK
2018,1704,SVK
2019,1692,SVK
2020,1572,SVK
1995,1756,SVN
1996,1728,SVN
1997,1715,SVN
1998,1728,SVN
1999,1730,SVN
2000,1710,SVN
2001,1696,SVN
2002,1720,SVN
2004,1737,SVN
2005,1697,SVN
2006,1667,SVN
2007,1655,SVN
2008,1673,SVN
2009,1679,SVN
2010,1680,SVN
2011,1663,SVN
2012,1644,SVN
2013,1662,SVN
2014,1682,SVN
2015,1687,SVN
2016,1652,SVN
2017,1622,SVN
2018,1603,SVN
2019,1601,SVN
2022,1610,SVN
1995,1711,BGR
1996,1708,BGR
1997,1707,BGR
1998,1650,BGR
1999,1670,BGR
2000,1640,BGR
2001,1652,BGR
2002,1651,BGR
2003,1641,BGR
2004,1664,BGR
2005,1659,BGR
2006,1654,BGR
2007,1655,BGR
1995,1923,HRV
1996,1923,HRV
1997,1923,HRV
1998,1923,HRV
1999,1923,HRV
2000,1922,HRV
2001,1923,HRV
2002,1923,HRV
2003,1924,HRV
2004,1926,HRV
2005,1926,HRV
2006,1928,HRV
2007,1930,HRV
1995,1900,CYP
1996,1899,CYP
1997,1906,CYP
1998,1913,CYP
1999,1920,CYP
2000,1926,CYP
2001,1951,CYP
2002,1923,CYP
2003,1916,CYP
2004,1879,CYP
2005,1847,CYP
2006,1833,CYP
2007,1862,CYP
1995,2092,MLT
1996,2119,MLT
1997,2142,MLT
1998,2164,MLT
1999,2183,MLT
2005,2167,MLT
2006,2175,MLT
2007,2171,MLT
